,ÓÃ»§Âë,userId
189,15246,189
190,15482,190
191,14841,191
192,15563,192
193,14878,193
194,15394,194
195,15379,195
196,14709,196
197,15157,197
198,15620,198
199,15789,199
200,14777,200
201,15759,201
202,15366,202
203,14735,203
204,15532,204
205,15197,205
206,14985,206
207,14769,207
208,15780,208
209,15204,209
210,15160,210
211,15312,211
212,15527,212
213,15460,213
214,15034,214
215,15208,215
216,14737,216
217,14944,217
218,15562,218
219,15587,219
220,15164,220
221,14732,221
222,15841,222
223,15661,223
224,15266,224
225,15046,225
226,15464,226
227,15719,227
228,15845,228
229,14828,229
230,15607,230
231,15139,231
232,14889,232
233,15611,233
234,15059,234
235,14761,235
236,14755,236
237,15799,237
238,14794,238
239,15326,239
240,15281,240
241,15346,241
242,15370,242
243,15189,243
244,15518,244
245,15749,245
246,15569,246
247,15939,247
248,14715,248
249,15171,249
250,15835,250
251,15447,251
252,14978,252
253,15510,253
254,15687,254
255,15626,255
256,15213,256
257,15033,257
258,15673,258
259,14976,259
260,15696,260
261,15316,261
262,15296,262
263,15395,263
264,15606,264
265,15831,265
266,14916,266
267,14784,267
268,15938,268
269,14779,269
270,15262,270
271,15422,271
272,14770,272
273,15174,273
274,14895,274
275,14692,275
276,15167,276
277,15443,277
278,15497,278
279,14782,279
280,15820,280
281,15797,281
282,15052,282
283,15222,283
284,15218,284
285,15110,285
286,15967,286
287,15339,287
288,15812,288
289,15227,289
290,15215,290
291,15910,291
292,14970,292
293,14701,293
294,14738,294
295,15549,295
296,15864,296
297,15057,297
298,15365,298
299,14805,299
300,15579,300
301,15415,301
302,15448,302
303,15144,303
304,14776,304
305,15058,305
306,15203,306
307,15981,307
308,15940,308
309,15971,309
310,15589,310
311,15226,311
312,15270,312
313,15421,313
314,14798,314
315,15885,315
316,14778,316
317,15090,317
318,15199,318
319,14842,319
320,15781,320
321,15407,321
322,15577,322
323,15753,323
324,15843,324
325,15970,325
326,15809,326
327,15796,327
328,15114,328
329,15133,329
330,15550,330
331,15638,331
332,15406,332
333,15236,333
334,15122,334
335,14935,335
336,14760,336
337,14897,337
338,15810,338
339,15670,339
340,14959,340
341,15382,341
342,14754,342
343,15903,343
344,15785,344
345,15228,345
346,15755,346
347,14803,347
348,15129,348
349,15321,349
350,15065,350
351,15146,351
352,16014,352
353,15722,353
354,15303,354
355,15397,355
356,15932,356
357,15590,357
358,15974,358
359,14880,359
360,15121,360
361,15543,361
362,15847,362
363,15712,363
364,15990,364
365,15951,365
366,14745,366
367,15724,367
368,15874,368
369,15656,369
370,14740,370
371,15676,371
372,15709,372
373,15241,373
374,15092,374
375,15319,375
376,15257,376
